1, Circle, Area, 18039.555582934358, Perimeter, 476.1215613406782, CentroidX, 490.064, CentroidY, 36.39
2, Triangle, Area, 3670.7503321634913, Perimeter, 276.21569999999997, CentroidX, -320.27827736265044, CentroidY, 136.36278997810
3, Triangle, Area, 989.2033039217682, Perimeter, 143.38830000000002, CentroidX, 145.96308309721704, CentroidY, 243.323010086910
4, Polygon, Area, 41810.5961642, Perimeter, 397.9814853343808, CentroidX, 262.3270494598933, CentroidY, 202.21658011677
5, Triangle, Area, 176.30185076880707, Perimeter, 60.534000000000006, CentroidX, 264.61211020387606, CentroidY, 342.349790338334
6, Square, Area, 2.7310537081, Perimeter, 6.61036, CentroidX, -152.06414825737662, CentroidY, -284.0099318470
7, Ellipse, Area, 433.63660718442674, Perimeter, 92.50795196996498, CentroidX, -213.74661773454724, CentroidY, -3.15533326945730
8, Circle, Area, 21315.70023336433, Perimeter, 517.5528852562204, CentroidX, 254.134, CentroidY, 439.2
9, Ellipse, Area, 715.492383103361, Perimeter, 154.66709785520365, CentroidX, -316.99283589960146, CentroidY, -381.580262898028
10, Square, Area, 373.99305320999997, Perimeter, 77.3556, CentroidX, -35.29319263637349, CentroidY, -106.488429366743
11, Square, Area, 4103.811721000001, Perimeter, 256.244, CentroidX, 72.22885626763359, CentroidY, -235.895057987295
12, Triangle, Area, 291.7446748512344, Perimeter, 77.8704, CentroidX, 289.8919248296522, CentroidY, 31.139964302633
13, Circle, Area, 13222.430979790055, Perimeter, 407.6247883959293, CentroidX, 43.9437, CentroidY, 199.0
14, Circle, Area, 29827.40760843978, Perimeter, 612.2272931462717, CentroidX, 476.976, CentroidY, 341.9
15, Triangle, Area, 2225.3380198702534, Perimeter, 215.06459999999998, CentroidX, 15.393964631003868, CentroidY, 303.70596063617
16, Circle, Area, 2675.419478703476, Perimeter, 183.35842690823756, CentroidX, 8.91554, CentroidY, 7.65
17, Triangle, Area, 1886.163319281029, Perimeter, 197.99790000000002, CentroidX, -323.67919595488206, CentroidY, 422.05823074784
18, Triangle, Area, 789.4929375884498, Perimeter, 128.09879999999998, CentroidX, 247.49117995729756, CentroidY, 84.76356135359
19, Polygon, Area, 151394.73092748996, Perimeter, 146.59175209966625, CentroidX, 236.89811800996242, CentroidY, 216.35872934032
20, Polygon, Area, 117991.621211665, Perimeter, 91.00370707361321, CentroidX, 255.70430371300407, CentroidY, 237.19971056214
21, Polygon, Area, 106215.38893535003, Perimeter, 296.2381787416335, CentroidX, 291.3084387978488, CentroidY, 236.148199879481
22, Square, Area, 4240.718592640001, Perimeter, 260.4832, CentroidX, 6.36798485408579, CentroidY, -464.74707519913
23, Triangle, Area, 160.68340661330893, Perimeter, 57.7905, CentroidX, -323.7731856696467, CentroidY, 60.011662086035
24, Polygon, Area, 160075.64178580997, Perimeter, 123.11613793995488, CentroidX, 242.23387214561367, CentroidY, 234.585294262700
25, Polygon, Area, 173766.3382282, Perimeter, 59.073490615419026, CentroidX, 258.06306039864165, CentroidY, 248.778907563658
26, Circle, Area, 2164.1104945520183, Perimeter, 164.90910989076613, CentroidX, 302.63, CentroidY, 181.1
27, Triangle, Area, 2836.676859852806, Perimeter, 242.8152, CentroidX, 153.39968162395354, CentroidY, 139.51308935906
